X,Y,ID
-2.51127205610535,42.8290652181167,"01001"
-2.97168858748111,43.0254635131065,"01002"
-3.07628302528748,43.1500315647127,01004_AM
-2.43098809032378,42.8831624694956,01009_AM
-3.07821492841086,43.075551190849,"01010"
-2.43570566820347,42.7001226903571,01017_AM
-2.68734315844233,42.6008304193846,01028_AM
-2.97751472100029,43.1381797257852,"01036"
-2.4327994229741,42.5445787988579,"01043"
-3.07437854154667,42.8260915081061,01047_AM
-2.38738273132375,42.8385213259292,"01051"
-2.92273461134039,42.8703992560087,01054_AM
-2.61405513473431,42.9899744881227,01058_AM
-2.67445421815138,42.8502771668554,"0105901"
-2.69300374020991,42.8416239892129,"0105902"
-2.6555030814679,42.8501680768267,"0105903"
-2.66330645525327,42.8351442798222,"0105904"
-2.68907092675755,42.8649259955968,"0105905"
-2.68820100595742,42.8504147885221,"0105906"
-2.7879955958477,42.9772205242174,01063_AM
-2.81909046727181,42.8263051999566,"01901"
-1.84470589900087,39.0048285011605,"0200301"
-1.87703292545391,39.0033822506404,"0200302"
-1.87150907705329,38.9952105084884,"0200303"
-1.88201904234381,38.9828304419405,"0200304"
-1.86725845432369,38.9841573839881,"0200305"
-1.85967093650059,38.9823144760161,"0200306"
-1.83931626952304,38.9806493197557,"0200307"
-1.89090534278306,38.9531966358541,"0200308"
-2.38106241586179,38.7046782057644,02008_AM
-1.09037944306151,38.8411650241368,"02009"
-1.38485747934741,38.9561060560425,02010_AM
-2.24380710528624,38.9679774486426,02012_AM
-2.6429110311769,38.9496369535099,02019_AM
-1.38905249953793,39.1600202540019,02021_AM
-1.41943826184402,39.305563462796,02024_AM
-1.0101196361492,38.7081736807309,"02025"
-1.63644794754212,38.8759493010315,"02029"
-2.09564524240211,38.4546449922,"02030"
-1.42279117627037,38.7390497590067,02033_AM
-1.61772064568017,39.2609351552369,02034_AM
-2.09459789492212,39.1592445033302,02035_AM
-1.67326788385098,38.4620939371876,"02037"
-1.81432676162781,39.2337406155162,"02045"
-2.45129980369869,39.0857015228161,"02053"
-2.04132076576137,38.7434632268574,02063_AM
-2.46967388158885,38.5351891877915,02067_AM
-2.10173192235309,39.1948337534211,"0206901"
-2.24970448807313,39.1501620361144,"0206902"
-2.18846843311823,39.2452543438783,"0206903"
-1.93199348828599,38.4608668969797,02072_AM
-1.95608867906785,39.2535057543356,02073_AM
-1.66386377548451,38.6203010025903,"02074"
-1.70644918817268,39.1716193406823,02075_AM
-1.5504655332386,39.358914377786,"02079"
-2.68281728447137,39.1340550342592,"0208101"
-2.68744273449704,39.2632883408703,"0208102"
-2.51848292758544,39.292652190621,"0208103"
-2.48277521221211,39.2051215352142,"0208104"
-2.30504073289884,38.2641010489159,02086_AM
-1.75557594266964,38.7779309531043,"02901"
-0.617358315191181,38.4830024480127,03002_AM
-0.884119599016529,38.2092710220378,03005_AM
-0.001287966211671,38.7391722443927,03006_AM
-0.472511868240171,38.6981530874123,"0300901"
-0.475402175718079,38.6887226673579,"0300902"
-0.490299105933131,38.6901780831706,"0300903"
-0.483206316642786,38.6960512587925,"0300904"
-0.481923877123782,38.7025780985975,"0300905"
-0.477073146168834,38.703389191208,"0300906"
-0.469134999572526,38.7060168524599,"0300907"
-0.517939760622593,38.6818005350482,"0300908"
-0.089327077751644,38.5791263898239,"03011"
-0.786777014332407,38.0639303268073,"03012"
-0.974961216897447,38.3133718555621,03013_AM
-0.48776581322719,38.3406371337972,"0301401"
-0.484747587470351,38.3521949209104,"0301402"
-0.473587115914837,38.3630057720856,"0301403"
-0.460127290009393,38.4239141408484,"0301404"
-0.491603950157738,38.3697232512051,"0301405"
-0.512095637715767,38.364852758581,"0301406"
-0.5244307043078,38.3528730702351,"0301407"
-0.577227091385934,38.3695274197519,"0301408"
-0.807741106926447,38.1030216374224,"0301501"
-0.778999625008685,38.0543647257571,"0301502"
-0.050350846901325,38.5978889090937,"0301801"
-0.05299508262162,38.5994633716707,"0301802"
-0.047279903729925,38.6262982720188,"0301803"
-0.7689222665413,38.3445726595017,"0301901"
-0.764446059361152,38.3476473769644,"0301902"
-0.764625210236459,38.3408881744942,"0301903"
-0.785619776649848,38.3292798541359,"0301904"
-0.654360327125996,38.7179019646932,"0302101"
-0.678133471370015,38.7053433205448,"0302102"
-0.78802190000751,38.7075613670087,03023_AM
-0.832135142838971,38.0732332795236,"03024"
-0.040368131515296,38.8133208889873,03026_AM
-0.279887393324357,38.8065743310672,03028_AM
-0.130750135482356,38.5357269224272,"0303101"
-0.096044475005678,38.5442133999278,"0303102"
-0.117415129540552,38.558177240617,"0303103"
-0.156091137726823,38.5616849097747,"0303104"
-0.750427927503905,38.0982944479362,03034_AM
-0.292370887483557,38.6730410506631,03035_AM
0.052501308128464,38.7154380742438,"0304101"
0.037885002414473,38.6919824580321,"0304102"
0.148764862916378,38.7246387396331,"03042"
-0.747951819469174,38.6445349122951,"03043"
-0.862670820506966,38.0510058344021,03044_AM
-0.41849002210006,38.5009358755449,"03046"
0.04642122633504,38.6447119626847,"0304701"
0.044264594072092,38.6529770513468,"0304702"
-0.104255672102321,38.6532953389016,"03048"
-0.885203131556592,38.1206362774137,"0304901"
-0.869737196092438,38.135414447173,"0304902"
-0.374199082294408,38.4676365199837,"0305001"
-0.408116762342089,38.4026756852278,"0305002"
-0.346624023779674,38.4607084198553,"0305003"
-0.67010590472317,38.5985122302638,"0305301"
-0.670629203874398,38.5675966517623,"0305302"
-0.797578906421114,38.152157679774,"03055"
-0.447004661353811,38.737381520875,"03056"
-0.899860460070026,38.1437543480788,"03058"
-0.806091975084897,38.2460954672636,"0305901"
-0.813177262968065,38.2461638229376,"0305902"
-0.812406614634842,38.2516038999139,"0305903"
-0.80699433728457,38.2515588608494,"0305904"
-0.814403825269279,38.2342572010295,"0305905"
0.024193566804334,38.8564014978264,"0306301"
0.136712325165504,38.822318546608,"0306302"
0.091121872649838,38.8042418901282,"0306303"
0.058929577879477,38.8416722193779,"0306304"
-0.754853874466162,38.1389378032015,"03064"
-0.684713734108108,38.2733741776552,"0306501"
-0.681988880645794,38.2633442526545,"0306502"
-0.713098247174304,38.2783088678069,"0306503"
-0.715687628077248,38.268743383576,"0306504"
-0.70594373816289,38.2657101224338,"0306505"
-0.706872151239826,38.2577331674302,"0306506"
-0.663591501131684,38.2462669550986,"0306507"
-0.79949645191943,38.4861336805886,"0306601"
-0.823571672355066,38.474814135358,0306602_AD
-0.791773307182608,38.4674646454837,"0306604"
-0.788891562656866,38.4788380621833,"0306605"
-0.203210856640661,38.5739765777355,"03069"
-0.736452577125921,38.094132242145,"03070"
0.086920581721355,38.773063805636,"0307101"
0.069464583454661,38.7679568693407,"0307102"
-0.950624890121471,38.1528581865814,03074_AM
-0.668865847233075,38.080955802167,"03076"
-0.895047206939239,38.3075630897107,"03077"
-0.570612054383317,38.627538304799,"0307901"
-0.570473225730763,38.6213145788495,"0307902"
-0.563003840082442,38.62492643619,"0307903"
-0.031097070222686,38.7124503572043,"03081"
0.166300371792339,38.7899612421359,"0308201"
0.136152666158558,38.7930003639684,"0308202"
0.165355545147255,38.765317503598,"0308203"
-0.48962530821113,38.5510726498369,"03083"
-0.694993711931537,38.3849482022409,"03088"
-0.912443537588082,38.4285419251198,"03089"
-0.447266969062305,38.4117322700535,"0309001"
-0.475917923678262,38.4352614068549,"0309002"
-0.49824069872056,38.7858839276142,03092_AM
-0.78610957473981,38.3942382267767,"03093"
-0.120489127597116,38.6008333832724,"03094"
0.015043763531417,38.8269625090117,"03095"
-0.6612439317142,38.6333299418003,"03096"
-0.101178374535364,38.7406689377015,03097_AM
-0.856811477668432,38.0807236358055,"0309901"
-0.948459077116077,38.0803150113259,"0309902"
-0.953894599095436,38.091415297002,"0309903"
-0.94032446756085,38.091931626377,"0309904"
-0.854040733579967,37.9797128022687,"0309905"
-0.939510659058585,38.0595558821584,"0309906"
-0.973727597638337,38.1731025643729,"0309907"
-0.90792660378403,38.1047394059494,"0309908"
0.031467011009407,38.7934595609706,"03101"
-0.113722337459998,38.8414600222555,"0310201"
-0.115223601242241,38.844942348865,"0310202"
-0.099603873553861,38.8436803055366,"0310203"
-0.768506690914399,38.4828304075332,"0310401"
